,id,text,label,Comments
23,135,0000:您好，本次通话将全程录音，昨天联系过您租金逾期的事情，截止昨天系统还是没有查询到2368.38元欠款到账，请问在今天14点前，可以将欠款存入尾号6777的农业银行卡内吗？0001:嗯，行。,稍后还款,
29,168,0000:您好，本次通话将全程录音，您在有车有家的车款已经逾期9天了，逾期金额为635.28元，麻烦在今天14点前将月供存入尾号9110的工商银行卡内，避免征信持续受损，您看可以吗？0001:嗯。,稍后还款,
41,231,0000:您好，本次通话将全程录音，昨天联系过您租金逾期的事情，截止昨天系统还是没有查询到1633.26元欠款到账，请问在今天14点前，可以将欠款存入尾号4678的工商银行卡内吗？0001:可以。,稍后还款,
47,253,0000:您好，本次通话将全程录音，您在有车有家的车款已经逾期6天了，逾期金额为1845.28元，麻烦在今天14点前将月供存入尾号1397的建设银行卡内，避免征信持续受损，没问题吧？0001:嗯，好好的。,稍后还款,
53,276,0000:您好，本次通话将全程录音，昨天联系过您租金逾期的事情，截止昨天系统还是没有查询到2699.22元欠款到账，请问在今天14点前，可以将欠款存入尾号2970的农业银行卡内吗？0001:全部。,意图不明,
65,332,0000:您好，这里是上海有车有家融资租赁有限公司，请问您是唐晓梅女士吗？0001:null,意图不明,
77,357,0000:您好，具体逾期费用建议您拨打客服电话400 820 5022咨询，这边给您来电主要是提醒您车款逾期的事情，请您按照合同按时还款，以免征信受到影响，所以请您今天14点务必处理好车款，您看可以吗？0001:如果想借贷的话，要满足什么条件吗？,意图不明,
149,795,0000:本次来电是您在上海银行车贷还款问题想跟您确认一下。0001:null,意图不明,
161,849,0000:本次来电是您在微众银行车贷中心的车贷还款问题想跟您确认一下。0001:null,意图不明,
167,883,"0000:您好，本次通话将全程录音，您在上海银行车贷中心的车贷已经逾期4天了，逾期金额为2875.25元，请务必在今天16点前,将欠款存入您的支付宝账户或支付宝前三张储蓄卡内,您看可以吗？0001:可以的。",稍后还款,
179,954,"0000:您好，本次通话将全程录音，您在上海银行车贷中心的车贷已经逾期4天了，逾期金额为3368.97元，请务必在今天16点前,将欠款存入您的支付宝账户或支付宝前三张储蓄卡内,您看可以吗？0001:好的。",稍后还款,
185,985,0000:本次来电是您在微众银行车贷中心的车贷还款问题想跟您确认一下。0001:null,意图不明,
191,1013,0000:我这边听不太清楚，麻烦您能用普通话再说一下吗。0001:null,意图不明,
197,1053,0000:您好，这里是微众银行车贷中心，请问您是李静先生吗？0001:null,意图不明,
209,1124,0000:您好，这里是微众银行车贷中心，请问您是杨光永先生吗？0001:null,意图不明,
215,1158,0000:您好，这里是微众银行车贷中心，请问您是朱其强先生吗？0001:null,意图不明,
221,1181,0000:本次来电是您在微众银行车贷中心的车贷还款问题想跟您确认一下。0001:null,意图不明,
227,1203,0000:请问您是将欠款998.85元存入尾号8903的工商银行卡内了吗？0001:是的是的。,已还款,
233,1235,"0000:您好，本次通话将全程录音，您在上海银行车贷中心的车贷已经逾期4天了，逾期金额为2440.59元，请务必在今天16点前,将欠款存入您的支付宝账户或支付宝前三张储蓄卡内,您看可以吗？0001:我今天早上刚把钱存到卡里面啊。",已还款,
245,1289,0000:本次来电是您在微众银行车贷中心的车贷还款问题想跟您确认一下。0001:null,意图不明,
251,1310,"0000:您在邮储银行的车贷已经逾期3天了,逾期金额为4496.98元,为了避免影响到你后续贷款资格，请务必在14点前,将欠款存入您的支付宝账户或支付宝前三张储蓄卡内,您看可以吗？0001:可以可以好好好。",稍后还款,
263,1362,"0000:您在邮储银行的车贷已经逾期3天了,逾期金额为3228.6元,为了避免影响到你后续贷款资格，请务必在14点前,将欠款存入您的支付宝账户或支付宝前三张储蓄卡内,您看可以吗？0001:好的。",稍后还款,
269,1392,"0000:您在邮储银行的车贷已经逾期3天了,逾期金额为3936.02元,为了避免影响到你后续贷款资格，请务必在14点前,将欠款存入您的支付宝账户或支付宝前三张储蓄卡内,您看可以吗？0001:可以可以。",稍后还款,
275,1428,0000:我这边听不太清楚，麻烦您能用普通话再说一下吗。0001:null,意图不明,
287,1462,"0000:您在邮储银行的车贷已经逾期3天了,逾期金额为3271.42元,为了避免影响到你后续贷款资格，请务必在14点前,将欠款存入您的支付宝账户或支付宝前三张储蓄卡内,您看可以吗？0001:好。",稍后还款,
293,1501,0000:您好，这里是上海银行车贷中心的，请问您是黎勇先生吗？0001:那我就明天交去查的。,稍后还款,
299,1522,0000:请问您是将欠款2976.37元存入尾号5477的建设银行卡内了吗？0001:我存了三千块钱进去啊。,存钱未扣款,
359,1833,0000:您好，本次通话将全程录音，您在上海银行车贷中心的车贷已经逾期4天了，逾期金额为2500.69元，麻烦在今天16点前将欠款存入尾号0172的农业银行卡内，您看可以吗？0001:可以呀。,稍后还款,
389,1970,0000:请问您是将欠款2321.52元，存入您的支付宝账户或支付宝前三张储蓄卡内吗？0001:是的。,已还款,
395,2009,0000:我这边听不太清楚，麻烦您能用普通话再说一下吗。0001:null,意图不明,
401,2030,"0000:您在邮储银行的车贷已经逾期3天了,逾期金额为3138.81元,为了避免影响到你后续贷款资格，请务必在14点前,将欠款存入您的支付宝账户或支付宝前三张储蓄卡内,您看可以吗？0001:哦。",意图不明,
407,2061,0000:若您扣款渠道异常，建议您先将欠款通过手机网银或柜台转账的方式存入我司对公账号，处理完毕后，将汇款凭证上传至“灿谷车生活”微信公众号就可以，后续建议您通过“灿谷车生活”进行改卡业务，如有任何疑可拨打车贷客服热线400 820 5022进行咨询。请您今天务必处理存款，避免违约，征信恶化了，务必重视。0001:对。,意图不明,
419,2115,0000:我这边听不太清楚，麻烦您能用普通话再说一下吗。0001:啊，好。,意图不明,
425,2141,0000:本次来电是您在微众银行车贷中心的车贷还款问题想跟您确认一下。0001:null,意图不明,
461,2319,0000:您好，本次通话将全程录音，您在微众银行车贷中心的车贷已经逾期6天了，逾期金额为1207.5元，麻烦在今天17点30分前将欠款存入尾号5066的邮储银行卡内，您看可以吗？0001:不对。,无意向还款,
467,2350,"0000:您好，本次通话将全程录音，您在上海银行车贷中心的车贷已经逾期4天了，逾期金额为3270.98元，请务必在今天16点前,将欠款存入您的支付宝账户或支付宝前三张储蓄卡内,您看可以吗？0001:null",意图不明,
479,2397,0000:本次来电是您在上海银行车贷中心的车贷还款问题想跟您确认一下。0001:null,意图不明,
