,id,text,label,Comments
485,2421,0000:您好，我们已经通知到您欠款的事宜，请您今天下午的16点前务必处理掉欠款，如果没有处理掉，您将被我方列入为高风险客户，我方将重新审核您的贷款资质，您到时候将面临解除贷款合同的风险，所以请您务必重视，您清楚了吗？0001:嗯。,意向-正,
1055,5108,0000:好的，您说。0001:好的好的好的。,意向-正,
1217,5874,0000:您好，我们已经通知到您欠款的事宜，请您今天下午的16点前务必处理掉欠款，如果没有处理掉，您将被我方列入为高风险客户，我方将重新审核您的贷款资质，您到时候将面临解除贷款合同的风险，所以请您务必重视，您清楚了吗？0001:好。,意向-正,
1271,6135,0000:您的情况我们表示理解，但是银行有银行的流程，有规章制度的，目前您已经逾期7天，如果说你是用这套来敷衍拖延时间的，那就没必要了，建议可以先找家人朋友筹借下款项，如果车款持续不还，征信我方将上传中国人民银行征信系统，同时也会视为您恶意拖欠车款，届时由于车款所产生的不良后果自行承担；所以务必在今天14点前处理好车款，您知道了吧？0001:嗯。,意向-正,
1313,6320,0000:本次来电是您在邮储银行车贷还款问题想跟您确认一下0001:嗯，知道了。,意向-正,
1325,6370,0000:本次来电是您在上海银行车贷中心的车贷还款问题想跟您确认一下。0001:嗯。,意向-正,
1343,6436,0000:若您扣款渠道异常，建议您先将欠款通过手机网银或柜台转账的方式存入我司对公账号，处理完毕后，将汇款凭证上传至“灿谷车生活”微信公众号就可以，后续建议您通过“灿谷车生活”进行改卡业务，如有任何疑可拨打车贷客服热线400 820 5022进行咨询。请您今天务必处理存款，避免违约，征信恶化了，务必重视。0001:嗯。,意向-正,
1361,6511,0000:本次来电是您在邮储银行车贷还款问题想跟您确认一下0001:嗯。,意向-正,
1373,6555,0000:您的情况我们表示理解，但是银行有银行的流程，有规章制度的，而且目前您已经逾期4天了，逾期的话每天是有罚息产生的而且，您的征信也会持续恶化，如果说你是用这套来敷衍拖延时间的，那就没必要了，建议您先找家人朋友周转一下，务必在今天的16点前处理好，如果您今日还是没有及时处理欠款，系统将判定您是否存在恶意拖欠还款的行为，同时案件也将升级，务必配合后续的工作，您清楚了吗?0001:嗯，知道。,意向-正,
1451,6962,0000:本次来电是您在邮储银行车贷还款问题想跟您确认一下0001:嗯。,意向-正,
1469,7043,0000:本次来电是您在邮储银行车贷还款问题想跟您确认一下0001:录音超时重新录制，请按一。,意向-负,
1493,7138,0000:本次来电是您在邮储银行车贷还款问题想跟您确认一下0001:然后。,意向-正,
1631,7802,0000:您好，我们已经通知到您欠款的事宜，请您今天下午的17点30分前务必处理掉欠款，如果没有处理掉，您将被我方列入为高风险客户，我方将重新审核您的贷款资质，您到时候将面临解除贷款合同的风险，所以请您务必重视，您清楚了吗？0001:嗯，清楚了。,意向-正,
1709,8192,0000:本次来电是您在邮储银行车贷还款问题想跟您确认一下0001:啥？,意向-正,
1793,8592,0000:打扰了，我是邮储银行车贷中心的，需要找他核实些资料，方便的话麻烦帮忙转告一下，让他给客服400 820 5022回个电话，您看可以吗？0001:现在有什么活动？,意向-负,
2015,9720,0000:您好，我们已经通知到您欠款的事宜，请您今天下午的14点前务必处理掉欠款，如果没有处理掉，您将被我方列入为高风险客户，我方将重新审核您的贷款资质，您到时候将面临解除贷款合同的风险，所以请您务必重视，您清楚了吗？0001:清楚。,意向-正,
2189,10616,0000:本次来电是您在邮储银行车贷还款问题想跟您确认一下0001:好。,意向-正,
2207,10707,0000:本次来电是您在邮储银行车贷还款问题想跟您确认一下0001:喂。,意向-正,
2321,11300,0000:您好，我们已经通知到您欠款的事宜，请您今天下午的14点务必处理掉欠款，如果没有处理掉，您将被我方列入为高风险客户，我方将重新审核您的贷款资质，您到时候将面临解除贷款合同的风险，所以请您务必重视，您清楚了吗？0001:天。,意向-负,
2651,12948,0000:本次来电是您在邮储银行车贷还款问题想跟您确认一下0001:您好，谢谢。,意向-正,
2669,13025,0000:您好，我们已经通知到您欠款的事宜，请您今天下午的14点前务必处理掉欠款，如果没有处理掉，您将被我方列入为高风险客户，我方将重新审核您的贷款资质，您到时候将面临解除贷款合同的风险，所以请您务必重视，您清楚了吗？0001:对。,意向-正,
2705,13183,0000:您的情况我们表示理解，但是银行有银行的流程，有规章制度的，而且目前您已经逾期4天，逾期的话每天是有罚息产生的，而且您的征信也会持续恶化，如果说你是用这套来敷衍拖延时间的，那就没必要了，建议先找家人朋友周转一下，务必在今天的14点前处理好，如果您今日还是没有及时处理欠款，系统将判定您是否存在恶意拖欠还款的行为，同时案件也将升级，务必配合后续的工作，您清楚了吗?0001:清楚了。,意向-正,
2783,13587,0000:打扰了，我是邮储银行车贷中心的，需要找他核实些资料，方便的话麻烦帮忙转告一下，让他给客服400 820 5022回个电话，您看可以吗？0001:贷款的相关信息我已经记下来了，等会就转告他，还有其他事需要转达吗？,意向-正,
3125,15226,0000:本次来电是您在微众银行车贷中心的车贷还款问题想跟您确认一下。0001:好。,意向-正,
3149,15330,0000:本次来电是您在邮储银行车贷还款问题想跟您确认一下0001:嗯。,意向-正,
3155,15352,0000:本次来电是您在邮储银行车贷还款问题想跟您确认一下0001:哦，对。,意向-正,
3359,16302,0000:您好，我们已经通知到您欠款的事宜，请您今天下午的14点前务必处理掉欠款，如果没有处理掉，您将被我方列入为高风险客户，我方将重新审核您的贷款资质，您到时候将面临解除贷款合同的风险，所以请您务必重视，您清楚了吗？0001:嗯，清楚了。,意向-正,
3401,16478,0000:本次来电是您在邮储银行车贷还款问题想跟您确认一下0001:哦，可以提呃，存在哪一个卡上？,意向-正,
3485,16894,0000:您好，我们已经通知到您欠款的事宜，请您今天下午的14点前务必处理掉欠款，如果没有处理掉，您将被我方列入为高风险客户，我方将重新审核您的贷款资质，您到时候将面临解除贷款合同的风险，所以请您务必重视，您清楚了吗？0001:好的。,意向-正,
3557,17279,0000:您好，由于我们多次联系吴巧贞女士，他都没有接听电话，他在邮储银行办理的车贷已逾期，一直扣款未成功，请让他尽快处理，如果有问题可以联系客服400 820 5022，您看可以吗？0001:嗯，好。,意向-正,
3563,17316,0000:您好，由于我们多次联系夏龙江先生，他都没有接听电话，他在邮储银行办理的车贷已逾期，一直扣款未成功，请让他尽快处理，如果有问题可以联系客服400 820 5022，您看可以吗？0001:哪料呀，是那个。,意向-负,
3617,17591,0000:您好，由于我们多次联系郭庆勇先生，他都没有接听电话，他在邮储银行办理的车贷已逾期，一直扣款未成功，请让他尽快处理，如果有问题可以联系客服400 820 5022，您看可以吗？0001:嗯，可以。,意向-正,
3641,17718,0000:您好，由于我们多次联系王斌先生，他都没有接听电话，他在邮储银行办理的车贷已逾期，一直扣款未成功，请让他尽快处理，如果有问题可以联系客服400 820 5022，您看可以吗？0001:嗯，好的好的。,意向-正,
3683,17942,0000:您好，由于我们多次联系王乙全先生，他都没有接听电话，他在邮储银行办理的车贷已逾期，一直扣款未成功，请让他尽快处理，如果有问题可以联系客服400 820 5022，您看可以吗？0001:别着急，我马上跟他说，还有要补充的吗？,意向-正,
3737,18224,0000:您好，我们已经通知到您欠款的事宜，请您今天下午的17点30分前务必处理掉欠款，如果没有处理掉，您将被我方列入为高风险客户，我方将重新审核您的贷款资质，您到时候将面临解除贷款合同的风险，所以请您务必重视，您清楚了吗？0001:嗯。,意向-正,
3749,18281,0000:您好，那请您检查下您的还款卡是否正确，月供金额为2178.41元，存入尾号7877的农业银行银行卡中，请您重新再检查一下，避免扣款失败。0001:麻烦我检查一下。,意向-正,
3905,19038,0000:您的情况我们表示理解，但是银行有银行的流程，有规章制度的，而且目前您已经逾期5天了，逾期的话每天是有罚息产生的，而且您的征信也会持续恶化，如果说你是用这套来敷衍拖延时间的，那就没必要了，建议先找家人朋友周转一下，务必在今天的17点30分前处理好，如果您今日还是没有及时处理欠款，系统将判定您是否存在恶意拖欠还款的行为，同时案件也将升级，务必配合后续的工作，您清楚了吗?0001:真是的，清楚了。,意向-正,
3917,19096,0000:您好，我们已经通知到您欠款的事宜，请您今天下午的16点前务必处理掉欠款，如果没有处理掉，您将被我方列入为高风险客户，我方将重新审核您的贷款资质，您到时候将面临解除贷款合同的风险，所以请您务必重视，您清楚了吗？0001:哎，你看懂。,意向-正,
3941,19239,0000:本次来电是您在上海银行车贷中心的车贷还款问题想跟您确认一下。0001:好的。,意向-正,
3965,19342,0000:您好，我们已经通知到您欠款的事宜，请您今天下午的16点前务必处理掉欠款，如果没有处理掉，您将被我方列入为高风险客户，我方将重新审核您的贷款资质，您到时候将面临解除贷款合同的风险，所以请您务必重视，您清楚了吗？0001:好的好的好的，谢谢，知道了知道了啊嗯。,意向-正,
4007,19537,0000:我这边听不太清楚，麻烦您能用普通话再说一下吗。0001:知道了。,意向-正,
4043,19703,0000:您好，因我们多次联系王德明先生，他都没有接听电话，由于您是他的车贷担保人，麻烦转告一下，他在上海银行办理的车贷已逾期，请让他尽快处理，如果有问题可以联系客服400 820 5022，您看可以吗？0001:可以。,意向-正,
4049,19739,0000:您好，由于我们多次联系周国沙先生，他都没有接听电话，他在上海银行车贷中心办理的车贷已逾期，一直扣款未成功，请让他尽快处理，如果有问题可以联系客服400 820 5022，您看可以吗？0001:啊，没事，那当然了。好的。,意向-正,
4061,19799,0000:您好，因我们多次联系秦道启先生，他都没有接听电话，由于您是他的车贷担保人，麻烦转告一下，他在上海银行办理的车贷已逾期，请让他尽快处理，如果有问题可以联系客服400 820 5022，您看可以吗？0001:哦，好的。,意向-正,
4073,19860,0000:您好，由于我们多次联系张兴磊先生，他都没有接听电话，他在上海银行车贷中心办理的车贷已逾期，一直扣款未成功，请让他尽快处理，如果有问题可以联系客服400 820 5022，您看可以吗？0001:哦，好，那我给他说门。,意向-正,
4115,20078,0000:您好，由于我们多次联系罗丽萍女士，他都没有接听电话，他在上海银行车贷中心办理的车贷已逾期，一直扣款未成功，请让他尽快处理，如果有问题可以联系客服400 820 5022，您看可以吗？0001:好的好的。,意向-正,
4199,20497,0000:潘学文先生目前已经逾期4天了，逾期的话每天都会有罚息的，并且可能还会影响他的个人征信，请让他尽快处理，如果有问题可以联系客服400 820 5022，您看可以吗？0001:中中中，他那只是没信号嗯。,意向-正,
4205,20538,0000:您好，由于我们多次联系王春燕女士，他都没有接听电话，他在微众银行车贷中心办理的车贷已逾期，一直扣款未成功，请让他尽快处理，如果有问题可以联系客服400 820 5022，您看可以吗？0001:嗯，好的。,意向-正,
4235,20679,0000:您好，由于我们多次联系卜令军先生，他都没有接听电话，他在微众银行车贷中心办理的车贷已逾期，一直扣款未成功，请让他尽快处理，如果有问题可以联系客服400 820 5022，您看可以吗？0001:多少多少钱？,意向-正,
4271,20870,0000:本次来电是您在有车有家租赁车辆还款问题想跟您确认一下0001:哦，哦没问题没问题。,意向-正,
4475,21881,0000:您好，这里是车贷中心的智能客服，来电主要是提醒您车款逾期的问题，请您在今天下午的16点之前务必处理掉逾期车贷，否则后续您的个人征信将持续恶化，我方并将重新审核您的相关贷款资质以及还款能力，还请您及时止损，您也可以致电人工客服电话400 820 5022进行咨询，您清楚了吗？0001:嗯，清楚清楚。,意向-正,
4535,22189,0000:本次来电是您在微众银行车贷中心的车贷还款问题想跟您确认一下。0001:喂。,意向-正,
4637,22678,0000:您好，我们已经通知到您欠款的事宜，请您今天下午的16点前务必处理掉欠款，如果没有处理掉，您将被我方列入为高风险客户，我方将重新审核您的贷款资质，您到时候将面临解除贷款合同的风险，所以请您务必重视，您清楚了吗？0001:哦哦哦。,意向-正,
4661,22812,0000:您好，我们已经通知到您欠款的事宜，请您今天下午的17点30分务必处理掉欠款，如果没有处理掉，您将被我方列入为高风险客户，我方将重新审核您的贷款资质，您到时候将面临解除贷款合同的风险，所以请您务必重视，您清楚了吗？0001:啊，好。,意向-正,
4667,22834,0000:您的情况我们表示理解，但是银行有银行的流程，有规章制度的，目前您已经逾期7天了，如果说你是用这套来敷衍拖延时间的，那就没必要了，建议您可以先找家人朋友筹借下款项，如果车款持续不还，征信我方将上传中国人民银行征信系统，同时也会视为您恶意拖欠车款，届时由于车款所产生的不良后果自行承担；所以务必在今天下午16点前处理好车款，您知道了吧？0001:知道了。,意向-正,
4673,22856,0000:您好，我们已经通知到您欠款的事宜，请您今天下午的17点30分前务必处理掉欠款，如果没有处理掉，您将被我方列入为高风险客户，我方将重新审核您的贷款资质，您到时候将面临解除贷款合同的风险，所以请您务必重视，您清楚了吗？0001:清楚了。,意向-正,
4727,23096,0000:您好，那请您检查下您的还款卡是否正确，月供金额为3702.14元，存入尾号5012的建设银行银行卡中，请您重新再检查一下，避免扣款失败。0001:好的好的，他那个应该等等那个他呃，检测完了就好了。,意向-正,
4775,23292,0000:本次来电是您在上海银行车贷中心的车贷还款问题想跟您确认一下。0001:嗯。,意向-正,
4811,23454,0000:请问您是将欠款2832.82元存入尾号8976的农业银行卡内了吗？0001:陈晨是吧。,意向-负,
4817,23480,0000:您好，我们已经通知到您欠款的事宜，请您今天下午的16点前务必处理掉欠款，如果没有处理掉，您将被我方列入为高风险客户，我方将重新审核您的贷款资质，您到时候将面临解除贷款合同的风险，所以请您务必重视，您清楚了吗？0001:清楚。,意向-正,
4841,23598,0000:本次来电是您在微众银行车贷中心的车贷还款问题想跟您确认一下。0001:喂。,意向-正,
4847,23621,0000:本次来电是您在上海银行车贷中心的车贷还款问题想跟您确认一下。0001:知道啊，好吧。,意向-正,
4871,23697,0000:本次来电是您在微众银行车贷中心的车贷还款问题想跟您确认一下。0001:问。,意向-正,
4967,24141,0000:您好，我们已经通知到您欠款的事宜，请您今天下午的17点30分前务必处理掉欠款，如果没有处理掉，您将被我方列入为高风险客户，我方将重新审核您的贷款资质，您到时候将面临解除贷款合同的风险，所以请您务必重视，您清楚了吗？0001:哎，好的好的，哎，好。,意向-正,
5021,24374,0000:若您扣款渠道异常，建议您先将欠款通过手机网银或柜台转账的方式存入我司对公账号，处理完毕后，将汇款凭证上传至“灿谷车生活”微信公众号就可以，后续建议您通过“灿谷车生活”进行改卡业务，如有任何疑可拨打车贷客服热线400 820 5022进行咨询。请您今天务必处理存款，避免违约，征信恶化了，务必重视。0001:这两天一直在积极处理。,意向-正,
5045,24454,0000:若您扣款渠道异常，建议您先将欠款通过手机网银或柜台转账的方式存入我司对公账号，处理完毕后，将汇款凭证上传至“灿谷车生活”微信公众号就可以，后续建议您通过“灿谷车生活”进行改卡业务，如有任何疑可拨打车贷客服热线400 820 5022进行咨询。请您今天务必处理存款，避免违约，征信恶化了，务必重视。0001:可以可以。,意向-正,
